병원,사망자다발지역,거리(km),시간(분)
단국대학교병원부속병원,-,-,-
순천향대학교병원,충청남도 천안시 서북구 쌍용동(신구빌딩 부근),1.6,6
순천향대학교병원,충청남도 천안시 동남구 영성동(중앙교 부근),2.4,9
천안충무병원,-,-,-
아산충무병원,충청남도 아산시 온천동(A플러스 부근),1.7,5
충청남도서산의료원,충청남도 서산시 고운로 147,1.5,6
충청남도서산의료원,충청남도 태안군 태안읍 중앙로 91,17.9,25
충청남도서산의료원,충청남도 서산시 동문동(아시아마트 부근),1,5
논산백제병원,충청남도 부여군 부여읍(코롱얼음 부근),24.1,24
논산백제병원,충청남도 논산시 화지동(대화로51 부근),2.2,7
논산백제병원,충청남도 서천군 서천읍(서천읍군사리68011 부근),57.7,49
논산백제병원,충청남도 서천군 서천읍(정금당입구 부근),57.7,50
당진종합병원,충청남도 당진시 읍내리(당진분식입구 부근),6.5,10
충청남도홍성의료원,충청남도 예산군 예산읍(민속떡집 부근),21.1,26
충청남도홍성의료원,충청남도 홍성군 홍성읍(장군상오거리 부근),371m,1
충청남도홍성의료원,충청남도 예산군 광시면(예당로169 부근),14.3,16
충청남도천안의료원,충청남도 천안시 동남구 대흥동(서울꽃화원 부근),5.4,14
충청남도천안의료원,충청남도 천안시 서북구 성정동(맨하탄 부근),9.9,20
충청남도공주의료원,충청남도 부여군 부여읍(코롱얼음 부근),32.3,30
보령아산병원,충청남도 청양군 청양읍(제비다방 부근),23.1,21
보령아산병원,충청남도 보령시 대천동(경남사거리 부근),5,11
보령아산병원,충청남도 보령시 동대동(녹십초키토산 부근),5.4,10
서산중앙병원,,,
