,병원명,주소,lat,lng
0,목포한국병원,대한민국 전라남도 목포시 상동 149-2,34.8094131,126.4164009
1,성가롤로병원,대한민국 전라남도 순천시 조례동 순광로 221,34.9646324,127.5437369
2,화순전남대학교병원,대한민국 전라남도 화순군 화순읍 서양로 322,35.0593098,127.0026172
3,여천전남병원,대한민국 전라남도 여수시 여천동 무선로 95,34.7690776,127.6542576
4,의료법인목포구암의료재단 목포중앙병원,대한민국 전라남도 목포시 석현동 영산로 623,34.821301,126.421011
5,광양사랑병원,대한민국 광양시 중마동 대한민국 전라남도 광양시 중동 1639-2,34.936145,127.696966
6,근로복지공단 순천병원,대한민국 전라남도 순천시 조례동 조례1길 24,34.961136,127.5251537
7,나주종합병원,대한민국 전라남도 나주시 성북동 영산로 5419,35.0366967,126.7215888
8,대송의료재단무안병원,대한민국 전라남도 무안군 무안읍 성동리 165 무안읍 성동리 165번지 무안군 전라남도 KR 58532,34.9914382,126.4891531
9,목포기독병원,대한민국 전라남도 목포시 하당동 백년대로 303,34.8044415,126.4205118
10,목포시의료원,대한민국 전라남도 목포시 이로동 이로로,34.8039025,126.4054617
11,순천제일병원,대한민국 전라남도 순천시 조례동 1589-1,34.9549256,127.5242812
12,여수전남병원,대한민국 전라남도 여수시 광무동 좌수영로 49,34.7447253,127.7280156
13,영광종합병원,대한민국 전라남도 영광군 영광읍 와룡로 3,35.2844869,126.4989822
14,의료법인 거명의료재단 영광기독병원,대한민국 전라남도 영광군 영광읍 남천리 212,35.2749984,126.5110264
15,의료법인 우범의료재단 장흥종합병원,대한민국 전라남도 장흥군 장흥읍 건산리 383-5,34.6771036,126.9109408
16,의료법인영성의료재단고흥종합병원,대한민국 전라남도 고흥군 고흥읍 남계리 186 고흥읍 남계리 186번지 고흥군 전라남도 KR 59535,34.6210043,127.2939397
17,순천한국병원,대한민국 전라남도 순천시 연향동 우명길 42,34.9476145,127.5125098
18,의료법인해민의료재단 세안종합병원,대한민국 목포시 연산동 연산동 774-1번지 목포시 전라남도 KR,34.8170249,126.3802509
19,의료법인행촌의료재단 해남종합병원,대한민국 전라남도 해남군 해남읍 해리 182-1,34.5716667,126.6128048
20,해남우리종합병원,대한민국 전라남도 해남군 옥천면 해남로 597,34.5834271,126.6459248
