종 별 구분,응급의료 취약지여부,병원명,지정일자,응급의료권역,응급실 대표전화,응급실 팩스번호,세부주소,도로명 주소,우편번호,의료법상 병원분류,허가병상수,데이터기준일자
권역응급의료센터,N,목포한국병원,2019-01-01,전남목포,061-270-5666,061-277-0199,전라남도 목포시 영산로 483 (상동),전라남도 목포시 영산로 483 (상동),58643,종합병원,562,2019-07-01
권역응급의료센터,N,성가롤로병원,2019-01-01,전남순천,061-720-6119,061-720-6000,전라남도 순천시 순광로 221 (조례동),전라남도 순천시 순광로 221 (조례동),57931,종합병원,537,2019-07-01
지역응급의료센터,N,화순전남대학교병원,2019-01-01,광주,061-379-8882,061-379-7420,전라남도 화순군 화순읍 서양로 322,전라남도 화순군 화순읍 서양로 322,58128,상급종합병원,675,2019-07-01
지역응급의료센터,N,여천전남병원,2019-01-01,전남순천,061-690-6118,061-690-6000,"전라남도 여수시 무선로 95, (선원동)","전라남도 여수시 무선로 96, (선원동)",59672,종합병원,299,2019-07-01
지역응급의료센터,N,의료법인목포구암의료재단 목포중앙병원,2019-01-01,전남목포,061-280-3119,061-280-3000,전라남도 목포시 영산로 627 (석현동),전라남도 목포시 영산로 628 (석현동),58655,종합병원,486,2019-07-01
지역응급의료기관,N,광양사랑병원,2019-01-01,전남순천,061-797-7119,061-797-7000,전라남도 광양시 공영로 71 (중동),전라남도 광양시 공영로 71 (중동),57788,종합병원,163,2019-07-01
지역응급의료기관,N,근로복지공단 순천병원,2019-01-01,전남순천,061-720-7539,061-720-7575,전라남도 순천시 조례1길 24 (조례동),전라남도 순천시 조례1길 24 (조례동),57947,종합병원,293,2019-07-01
지역응급의료기관,Y,나주종합병원,2019-01-01,광주,061-330-6112,061-330-6114,전라남도 나주시 영산로 5419 (성북동),전라남도 나주시 영산로 5419 (성북동),58251,종합병원,201,2019-07-01
지역응급의료기관,Y,대송의료재단무안병원,2019-01-01,전남목포,061-450-3119,061-450-3111,전라남도 무안군 무안읍 몽탄로 65,전라남도 무안군 무안읍 몽탄로 65,58531,종합병원,298,2019-07-01
지역응급의료기관,N,목포기독병원,2019-01-01,전남목포,061-280-7119,061-280-7500,전라남도 목포시 백년대로 303 (상동),전라남도 목포시 백년대로 303 (상동),58666,종합병원,357,2019-07-01
지역응급의료기관,N,목포시의료원,2019-01-01,전남목포,061-260-6400,061-279-3242,전라남도 목포시 이로로 18,전라남도 목포시 이로로 18,58701,종합병원,299,2019-07-01
지역응급의료기관,N,순천제일병원,2019-01-01,전남순천,061-720-3800,061-720-3500,전라남도 순천시 기적의도서관1길 3 (조례동),전라남도 순천시 기적의도서관1길 3 (조례동),57968,종합병원,200,2019-07-01
지역응급의료기관,N,여수전남병원,2019-01-01,전남순천,061-640-7118,061-640-7128,"전라남도 여수시 좌수영로 49 (광무동, 전남병원)","전라남도 여수시 좌수영로 49 (광무동, 전남병원)",59718,종합병원,283,2019-07-01
지역응급의료기관,Y,영광종합병원,2019-01-01,광주,061-350-8129,061-353-8010,"전라남도 영광군 영광읍 와룡로 3,","전라남도 영광군 영광읍 와룡로 3,",57035,종합병원,269,2019-07-01
지역응급의료기관,Y,의료법인 거명의료재단 영광기독병원,2019-01-01,광주,061-350-3080,061-350-3015,전라남도 영광군 영광읍 신남로 265,전라남도 영광군 영광읍 신남로 265,57044,종합병원,206,2019-07-01
지역응급의료기관,Y,의료법인 우범의료재단 장흥종합병원,2019-01-01,광주,061-860-1119,061-862-1130,전라남도 장흥군 장흥읍 흥성로 74,전라남도 장흥군 장흥읍 흥성로 74,59325,종합병원,182,2019-07-01
지역응급의료기관,Y,의료법인영성의료재단고흥종합병원,2019-01-01,전남순천,061-830-3119,061-835-6000,전라남도 고흥군 고흥읍 고흥로 1935,전라남도 고흥군 고흥읍 고흥로 1935,59535,종합병원,293,2019-07-01
지역응급의료기관,N,의료법인한국의료재단한국병원,2019-01-01,전남순천,061-740-5119,061-740-5000,전라남도 순천시 우명길 42 (연향동),전라남도 순천시 우명길 42 (연향동),57991,종합병원,243,2019-07-01
지역응급의료기관,N,의료법인해민의료재단 세안종합병원,2019-01-01,전남목포,061-260-6666,061-260-6710,전라남도 목포시 고하대로 795-2 (연산동),전라남도 목포시 고하대로 795-2 (연산동),58618,종합병원,399,2019-07-01
